,name,ISO3_CODE,status,CAPITAL,Color_Code,_merge
0,All,,,,,left_only
29,Cabo Verde,,,,,left_only
33,Central Africa Republic,,,,,left_only
40,Cost Rica,,,,,left_only
41,Cote D'Ivoire,,,,,left_only
45,Czech Republic,,,,,left_only
46,Democratic People's Republic of Korea,,,,,left_only
47,Democratic Republic of Congo,,,,,left_only
50,Dominca,,,,,left_only
64,Gambia (Republic of The),,,,,left_only
72,Guinea Bissau,,,,,left_only
80,Iran (Islamic Republic of),,,,,left_only
117,Mazambique,,,,,left_only
120,Naura,,,,,left_only
127,North Macedonia,,,,,left_only
141,Republic of Moldova,,,,,left_only
159,Solomon Islands,,,,,left_only
164,Sri lanka,,,,,left_only
170,Tajikstan,,,,,left_only
183,United Kingdom of Great Britain and Northern Ireland,,,,,left_only
189,"Venezuela, Bolivarian Republic of",,,,,left_only
194,Other,,,,,left_only
